Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,,,,,,,,,,
0034.3120,1,Schurter,0034.3120,https://octopart.com/0034.3120-schurter-4227,Fuse Miniature Slow Blow Acting 2A 250V Holder Cartridge 5 X 20mm Glass Box CCC/PSE/VDE/cULus,-,AM1,,,39w,Compliant,1,486-1219-ND,1360813,693-0034.3120,Bulk,,Bulk,0.39837028,,391,2173,18634,23051,1,10,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=4227&sid=459&sig=0c3e088&vpid=2033813,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=4227&sid=819&sig=001b7ce&vpid=147996049,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=4227&sid=2401&sig=040f46c&vpid=37686048,Mouser,693-0034.3120,Bulk,391,391,391,23051,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=4227&sid=2401&sig=040f46c&vpid=37686048,
R46KI310000M1M,1,KEMET,R46KI310000M1M,https://octopart.com/r46ki310000m1m-kemet-20076178,Cap Film Suppression X2 0.1uF 560VDC/275VAC PP 20% (18 X 5 X 11mm) Radial 15mm 110 C Bulk,Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,C1,,,41w,Compliant,1,399-6806-ND,2763161,80-R46KI310000M1M,Bulk,,Bulk,0.42553189,,428,3,7187,712,1,5,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=20076178&sid=459&sig=0898955&vpid=50105135,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=20076178&sid=819&sig=072b67d&vpid=428599403,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=20076178&sid=2401&sig=0910057&vpid=37838375,Digi-Key,399-6806-ND,Bulk,0.42553189,0.42553189,0.42553189,3,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=20076178&sid=459&sig=0898955&vpid=50105135,
CS65ZU2GA102MANKA,1,TDK,CS65ZU2GA102MANKA,https://octopart.com/cs65zu2ga102manka-tdk-30654916,Cap Ceramic 0.001uF 400VAC/330VAC Z5U 20% (7 X 7mm) Radial 7.5mm 125°C Bulk,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,C2,,Production (Last Updated: 2 years ago),10w,Compliant,1,445-15875-ND,3649243,810-CS65ZU2GA102MANA,Bulk,,Bulk,0.85106378,473,783,1755,2396,3845,1,1,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=459&sig=0dd7a0c&vpid=88306226,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=819&sig=0bbc938&vpid=697405095,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=2401&sig=0ca8f56&vpid=95778680,Farnell,3649243,,473,473,473,2396,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=819&sig=0bbc938&vpid=697405095,
CS65ZU2GA102MANKA,1,TDK,CS65ZU2GA102MANKA,https://octopart.com/cs65zu2ga102manka-tdk-30654916,Cap Ceramic 0.001uF 400VAC/330VAC Z5U 20% (7 X 7mm) Radial 7.5mm 125°C Bulk,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,C3,,Production (Last Updated: 2 years ago),10w,Compliant,1,445-15875-ND,3649243,810-CS65ZU2GA102MANA,Bulk,,Bulk,0.85106378,473,783,1755,2396,3845,1,1,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=459&sig=0dd7a0c&vpid=88306226,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=819&sig=0bbc938&vpid=697405095,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=2401&sig=0ca8f56&vpid=95778680,Farnell,3649243,,473,473,473,2396,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30654916&sid=819&sig=0bbc938&vpid=697405095,
K105M20X7RF53H5,1,Vishay,K105M20X7RF53H5,https://octopart.com/k105m20x7rf53h5-vishay-39694721,Cap Ceramic 1uF 50V X7R 20% Radial 5mm 125°C Bulk,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,C4,,,42w,Compliant,1,K105M20X7RF53H5-ND,8047285,594-K105M20X7RF53H5,Bulk,,Bulk,0.78768669,1.58,792,19375,15319,15040,1,1,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=39694721&sid=459&sig=061935a&vpid=45689276,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=39694721&sid=819&sig=02974a2&vpid=768388544,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=39694721&sid=2401&sig=0c86cc5&vpid=176321380,Digi-Key,K105M20X7RF53H5-ND,Bulk,0.78768669,0.78768669,0.78768669,19375,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=39694721&sid=459&sig=061935a&vpid=45689276,
UPW1J680MPD1TD,1,Nichicon,UPW1J680MPD1TD,https://octopart.com/upw1j680mpd1td-nichicon-8443338,Cap Aluminum Lytic 68uF 63V 20% (8 X 11.5mm) Radial 3.5mm 405mA 3000h 105C Automotive Ammo,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C5,,,27w,Compliant,1,493-11738-1-ND,1899887,647-UPW1J680MPD1TD,Cut Tape,Ammo,Ammo Pack,0.49796285000000007,521,501,0,0,0,1,1,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=8443338&sid=459&sig=02ce6b1&vpid=87860240,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=8443338&sid=819&sig=071cc06&vpid=147676860,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=8443338&sid=2401&sig=0fc6150&vpid=165436096,Digi-Key,493-11738-1-ND,Cut Tape,0.49796285000000007,0.49796285000000007,0.49796285000000007,0,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=8443338&sid=459&sig=02ce6b1&vpid=87860240,
1715857,1,Microchip,MCP6072-E/SN,https://octopart.com/mcp6072-e%2Fsn-microchip-10555231,Op Amp Dual Precision Amplifier R-R I/O 6V Automotive 8-Pin SOIC N Tube,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",CONN1,,Production (Last Updated: 1 year ago),52w,Compliant,1,MCP6072-E/SN-ND,1715857,579-MCP6072-E/SN,Tube,,Tube,0.9778179600000001,1.33,1.08,0,0,0,1,1,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=10555231&sid=459&sig=009e788&vpid=33801863,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=10555231&sid=819&sig=0caed38&vpid=147609667,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=10555231&sid=2401&sig=0f09fa7&vpid=37684990,Digi-Key,MCP6072-E/SN-ND,Tube,0.9778179600000001,0.9778179600000001,0.9778179600000001,0,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=10555231&sid=459&sig=009e788&vpid=33801863,
BCS-101-L-D-TE,1,Samtec,BCS-101-L-D-TE,https://octopart.com/bcs-101-l-d-te-samtec-291853,"Board to Board & Mezzanine Connectors Pass-Through Socket Strip, 0.100 pitch",Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical,CONN2,,Production (Last Updated: 2 months ago),2w,Compliant,1,SAM1008-01-ND,3742863,200-BCS101LDTE,Bulk,,,0.41647802000000006,,1.3,2530,0,15,1,5,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=291853&sid=459&sig=0e82adf&vpid=1915381,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=291853&sid=819&sig=0667a11&vpid=713811685,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=291853&sid=2401&sig=0a71495&vpid=493035170,Digi-Key,SAM1008-01-ND,Bulk,0.41647802000000006,0.41647802000000006,0.41647802000000006,2530,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=291853&sid=459&sig=0e82adf&vpid=1915381,
0031.8201,1,Schurter,0031.8201,https://octopart.com/0031.8201-schurter-2713,Fuse Holder Open Design; 5 x 20mm; 500V; 10A; 1P; Solder THT 22.5mm,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,F1,,,21w,Compliant,1,486-1258-ND,1162740,693-0031.8201,Bulk,,Bulk,0.8239021700000001,,828,0,0,0,1,10,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=2713&sid=459&sig=0109c82&vpid=1135460,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=2713&sid=819&sig=0f6cdaa&vpid=147995898,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=2713&sid=2401&sig=017d082&vpid=37658700,Digi-Key,486-1258-ND,Bulk,0.8239021700000001,0.8239021700000001,0.8239021700000001,0,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=2713&sid=459&sig=0109c82&vpid=1135460,
DPO-3.0-330,1,Nuvotem Talema,DPO-3.0-330,https://octopart.com/dpo-3.0-330-nuvotem+talema-29682783,Inductor Power Toroid 625uH/330uH 15% 10KHz 3A 0.142Ohm DCR RDL,Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads,L1,,,,,1,1295-1175-ND,,,Tray,,,,,,0,,,500,,,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=29682783&sid=459&sig=05f8cb9&vpid=81162712,,,Digi-Key,1295-1175-ND,Tray,,,,0,500,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=29682783&sid=459&sig=05f8cb9&vpid=81162712,
FL2D-Z5-103,1,MORNSUN,FL2D-Z5-103,https://octopart.com/fl2d-z5-103-mornsun-28156890,Common Mode EMC Filter,AE01.07.50.100:FL2D-Z5-103,L2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM-03-05,1,,,,,Converter_ACDC:Converter_ACDC_MeanWell_IRM-03-xx_THT,PS1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX3SJ33R,1,TE Connectivity,ROX3SJ33R,https://octopart.com/rox3sj33r-te+connectivity-11912696,"Through Hole Resistor, Rox Series, 33 Ohm, 3 W, 5%, 350 V, Axial Leaded Rohs Compliant: Yes",Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,R1,,Production (Last Updated: 4 days ago),25w,Compliant,1,A105914CT-ND,1738669,279-ROX3SJ33R,Cut Tape,,Tape & Reel,0.35310093000000004,57,,13176,9359,7000,1,1,1000,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=11912696&sid=459&sig=076b4c0&vpid=275763238,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=11912696&sid=819&sig=0743f7b&vpid=310011826,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=11912696&sid=2401&sig=0d083d3&vpid=118166009,Farnell,1738669,,57,57,57,9359,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=11912696&sid=819&sig=0743f7b&vpid=310011826,
B72214P2351K101,1,EPCOS,B72214P2351K101,https://octopart.com/b72214p2351k101-epcos-22229343,"Varistor, Metal Oxide, 910V, Disc 16.5MM",Varistor:RV_Disc_D15.5mm_W3.9mm_P7.5mm,RV1,,Production (Last Updated: 2 years ago),32w,Compliant,1,495-6609-ND,2523678,871-B72214P2351K101,Bulk,,Bulk,0.6066092900000001,,573,0,0,0,1,5,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=22229343&sid=459&sig=0d85da4&vpid=131388785,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=22229343&sid=819&sig=00da529&vpid=254503481,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=22229343&sid=2401&sig=0f54e3a&vpid=229069517,Mouser,871-B72214P2351K101,Bulk,573,573,573,0,1,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=22229343&sid=2401&sig=0f54e3a&vpid=229069517,
1.5KE7.5CA,1,Littelfuse,1.5KE7.5CA,https://octopart.com/1.5ke7.5ca-littelfuse-30055,1.5KE Series 11.3 V 1.5 kW Through Hole Bi-Directional TVS Diode - DO-201,Diode_THT:D_DO-201_P5.08mm_Vertical_KathodeUp,TVS1,,Production (Last Updated: 2 years ago),42w,Compliant,1,1.5KE7.5CALFCT-ND,2777091,576-1.5KE7.5CA,Cut Tape,,Tape & Reel,0.6156631600000001,711,619,637,0,12,1,1,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30055&sid=459&sig=0440519&vpid=1394813,https://octopart.com/click/track?ai4=706&c=1&country=ES&ct=offers&ppid=30055&sid=819&sig=004d468&vpid=454185160,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30055&sid=2401&sig=0145651&vpid=37722965,Digi-Key,1.5KE7.5CALFCT-ND,Cut Tape,0.6156631600000001,0.6156631600000001,0.6156631600000001,637,1,https://octopart.com/click/track?ai4=706&country=ES&ct=offers&ppid=30055&sid=459&sig=0440519&vpid=1394813,
